"id","icategoria","itiempo"
10,88,3
11,88,2
12,89,3
13,89,2
15,2,6
16,22,13
17,22,6
18,22,2
19,22,4
20,22,7
29,38,9
30,38,13
31,38,6
32,38,2
33,38,11
34,38,10
35,38,12
36,38,4
37,38,7
38,38,8
39,38,5
40,38,3
41,23,13
42,23,6
43,23,2
44,23,11
45,23,12
46,23,4
47,23,7
48,23,5
49,24,2
50,24,4
51,47,13
52,47,7
53,46,13
54,46,11
55,46,12
56,46,7
57,46,8
58,19,9
59,19,2
60,19,11
61,19,10
62,19,12
63,19,4
65,28,13
75,65,6
77,30,6
78,20,2
79,61,13
80,61,6
81,61,2
82,61,4
87,15,13
88,15,6
89,60,13
90,60,6
91,60,2
92,60,11
99,11,9
100,11,13
101,52,9
102,52,2
103,52,11
104,39,9
105,39,11
106,39,12
107,39,4
108,48,7
122,45,9
123,45,2
124,45,12
125,45,4
126,45,7
127,45,8
128,45,5
129,45,3
133,67,13
134,63,2
135,64,9
136,64,11
137,64,4
138,66,9
139,66,11
140,66,7
146,40,9
151,26,8
152,26,5
153,37,9
154,37,13
155,37,6
156,37,2
157,37,11
158,37,12
159,37,4
160,37,7
161,37,8
162,37,5
163,42,12
164,42,8
165,42,5
166,25,3
167,51,9
168,51,2
169,51,11
170,51,4
182,50,9
183,50,13
184,14,9
185,14,12
186,14,4
187,14,7
188,53,9
189,53,13
190,53,6
191,53,2
192,53,11
193,53,12
194,53,4
195,62,9
196,62,13
197,62,6
198,62,2
199,62,11
200,31,6
207,49,11
208,49,12
209,49,4
210,49,7
211,44,13
212,44,6
216,16,13
217,3,9
218,3,13
219,3,6
220,3,2
221,3,11
222,3,10
223,3,12
224,3,4
225,3,7
226,3,8
227,3,5
228,3,3
229,18,2
230,18,4
231,43,13
232,43,6
233,43,11
234,43,7
235,21,13
236,21,6
237,21,2
238,21,11
239,21,12
240,21,4
241,21,7
242,21,3
250,1,13
251,1,6
252,1,2
253,1,11
254,1,4
255,1,7
256,41,9
257,41,11
258,41,12
259,41,4
260,41,7
261,41,8
262,41,5
263,4,9
264,4,6
265,4,12
266,4,4
267,4,7
268,4,8
269,4,5
270,90,13
271,90,6
272,90,2
273,90,4
274,90,7
275,91,13
276,91,6
277,91,2
278,91,11
279,91,10
280,91,12
281,91,4
282,91,7
283,91,8
284,91,5
285,91,3
